experiment_id,window_id,relation_id,source_id,target_id,id02_status,source_provenance_class,target_provenance_class,source_family,target_family,shared_source_variables,dependency_status,dependency_rule,directly_derived_flag,definitionally_constrained_flag,id02_status_modified
CGIE3_ID_03,1d,spearman::maximum_magnitude--spatial_dispersion_km,maximum_magnitude,spatial_dispersion_km,rejected,distribution_summary,derived_spatial_quantity,magnitude,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,1d,spearman::median_depth_km--median_interevent_time_hours,median_depth_km,median_interevent_time_hours,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,1d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,candidate,distribution_summary,derived_spatial_quantity,depth,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,1d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,eligible,derived_temporal_quantity,derived_spatial_quantity,event_timing,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::depth_mad_km--event_count,depth_mad_km,event_count,rejected,distribution_summary,aggregate_observation,depth,event_membership,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::depth_mad_km--interevent_time_mad_hours,depth_mad_km,interevent_time_mad_hours,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::depth_mad_km--log10_cumulative_energy_joule,depth_mad_km,log10_cumulative_energy_joule,rejected,distribution_summary,derived_physical_quantity,depth,magnitude_energy,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::depth_mad_km--maximum_magnitude,depth_mad_km,maximum_magnitude,rejected,distribution_summary,distribution_summary,depth,magnitude,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,candidate,distribution_summary,distribution_summary,depth,depth,event_depth_km,shared_event_source,same_direct_source,False,True,False
CGIE3_ID_03,30d,spearman::depth_mad_km--median_interevent_time_hours,depth_mad_km,median_interevent_time_hours,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,rejected,distribution_summary,derived_spatial_quantity,depth,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::depth_mad_km--temporal_burstiness,depth_mad_km,temporal_burstiness,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,aggregate_observation,derived_temporal_quantity,event_membership,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,aggregate_observation,derived_physical_quantity,event_membership,magnitude_energy,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,candidate,aggregate_observation,distribution_summary,event_membership,magnitude,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::event_count--median_depth_km,event_count,median_depth_km,candidate,aggregate_observation,distribution_summary,event_membership,depth,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,candidate,aggregate_observation,derived_temporal_quantity,event_membership,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,candidate,aggregate_observation,derived_spatial_quantity,event_membership,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,candidate,aggregate_observation,derived_temporal_quantity,event_membership,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,derived_temporal_quantity,derived_physical_quantity,event_timing,magnitude_energy,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,derived_temporal_quantity,distribution_summary,event_timing,magnitude,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,derived_temporal_quantity,distribution_summary,event_timing,depth,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,derived_temporal_quantity,derived_temporal_quantity,event_timing,event_timing,ordered_event_timestamp,shared_temporal_source,same_temporal_source_family,False,True,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,eligible,derived_temporal_quantity,derived_spatial_quantity,event_timing,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,derived_temporal_quantity,derived_temporal_quantity,event_timing,event_timing,ordered_event_timestamp,shared_temporal_source,same_temporal_source_family,False,True,False
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,derived_physical_quantity,distribution_summary,magnitude_energy,magnitude,event_magnitude,partially_derived,explicit_potential_direct_dependency,False,True,False
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--median_depth_km,log10_cumulative_energy_joule,median_depth_km,rejected,derived_physical_quantity,distribution_summary,magnitude_energy,depth,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,candidate,derived_physical_quantity,derived_temporal_quantity,magnitude_energy,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--spatial_dispersion_km,log10_cumulative_energy_joule,spatial_dispersion_km,rejected,derived_physical_quantity,derived_spatial_quantity,magnitude_energy,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,candidate,derived_physical_quantity,derived_temporal_quantity,magnitude_energy,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::maximum_magnitude--median_depth_km,maximum_magnitude,median_depth_km,rejected,distribution_summary,distribution_summary,magnitude,depth,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,candidate,distribution_summary,derived_temporal_quantity,magnitude,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::maximum_magnitude--spatial_dispersion_km,maximum_magnitude,spatial_dispersion_km,rejected,distribution_summary,derived_spatial_quantity,magnitude,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,eligible,distribution_summary,derived_temporal_quantity,magnitude,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::median_depth_km--median_interevent_time_hours,median_depth_km,median_interevent_time_hours,candidate,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,eligible,distribution_summary,derived_spatial_quantity,depth,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::median_depth_km--temporal_burstiness,median_depth_km,temporal_burstiness,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,eligible,derived_temporal_quantity,derived_spatial_quantity,event_timing,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,30d,spearman::median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours,temporal_burstiness,eligible,derived_temporal_quantity,derived_temporal_quantity,event_timing,event_timing,ordered_event_timestamp,shared_temporal_source,same_temporal_source_family,False,True,False
CGIE3_ID_03,30d,spearman::spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km,temporal_burstiness,candidate,derived_spatial_quantity,derived_temporal_quantity,spatial_location,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::depth_mad_km--event_count,depth_mad_km,event_count,rejected,distribution_summary,aggregate_observation,depth,event_membership,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::depth_mad_km--interevent_time_mad_hours,depth_mad_km,interevent_time_mad_hours,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::depth_mad_km--log10_cumulative_energy_joule,depth_mad_km,log10_cumulative_energy_joule,rejected,distribution_summary,derived_physical_quantity,depth,magnitude_energy,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::depth_mad_km--maximum_magnitude,depth_mad_km,maximum_magnitude,rejected,distribution_summary,distribution_summary,depth,magnitude,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,candidate,distribution_summary,distribution_summary,depth,depth,event_depth_km,shared_event_source,same_direct_source,False,True,False
CGIE3_ID_03,3d,spearman::depth_mad_km--median_interevent_time_hours,depth_mad_km,median_interevent_time_hours,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,rejected,distribution_summary,derived_spatial_quantity,depth,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::depth_mad_km--temporal_burstiness,depth_mad_km,temporal_burstiness,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,rejected,aggregate_observation,derived_temporal_quantity,event_membership,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,aggregate_observation,derived_physical_quantity,event_membership,magnitude_energy,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,eligible,aggregate_observation,distribution_summary,event_membership,magnitude,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::event_count--median_depth_km,event_count,median_depth_km,rejected,aggregate_observation,distribution_summary,event_membership,depth,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,eligible,aggregate_observation,derived_temporal_quantity,event_membership,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,rejected,aggregate_observation,derived_spatial_quantity,event_membership,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,eligible,aggregate_observation,derived_temporal_quantity,event_membership,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,rejected,derived_temporal_quantity,derived_physical_quantity,event_timing,magnitude_energy,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,rejected,derived_temporal_quantity,distribution_summary,event_timing,magnitude,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,derived_temporal_quantity,distribution_summary,event_timing,depth,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,candidate,derived_temporal_quantity,derived_temporal_quantity,event_timing,event_timing,ordered_event_timestamp,shared_temporal_source,same_temporal_source_family,False,True,False
CGIE3_ID_03,3d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,rejected,derived_temporal_quantity,derived_spatial_quantity,event_timing,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,derived_temporal_quantity,derived_temporal_quantity,event_timing,event_timing,ordered_event_timestamp,shared_temporal_source,same_temporal_source_family,False,True,False
CGIE3_ID_03,3d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,derived_physical_quantity,distribution_summary,magnitude_energy,magnitude,event_magnitude,partially_derived,explicit_potential_direct_dependency,False,True,False
CGIE3_ID_03,3d,spearman::log10_cumulative_energy_joule--median_depth_km,log10_cumulative_energy_joule,median_depth_km,rejected,derived_physical_quantity,distribution_summary,magnitude_energy,depth,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,eligible,derived_physical_quantity,derived_temporal_quantity,magnitude_energy,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::log10_cumulative_energy_joule--spatial_dispersion_km,log10_cumulative_energy_joule,spatial_dispersion_km,rejected,derived_physical_quantity,derived_spatial_quantity,magnitude_energy,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,eligible,derived_physical_quantity,derived_temporal_quantity,magnitude_energy,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::maximum_magnitude--median_depth_km,maximum_magnitude,median_depth_km,rejected,distribution_summary,distribution_summary,magnitude,depth,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,eligible,distribution_summary,derived_temporal_quantity,magnitude,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::maximum_magnitude--spatial_dispersion_km,maximum_magnitude,spatial_dispersion_km,rejected,distribution_summary,derived_spatial_quantity,magnitude,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,eligible,distribution_summary,derived_temporal_quantity,magnitude,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::median_depth_km--median_interevent_time_hours,median_depth_km,median_interevent_time_hours,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,candidate,distribution_summary,derived_spatial_quantity,depth,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::median_depth_km--temporal_burstiness,median_depth_km,temporal_burstiness,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,candidate,derived_temporal_quantity,derived_spatial_quantity,event_timing,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,3d,spearman::median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours,temporal_burstiness,eligible,derived_temporal_quantity,derived_temporal_quantity,event_timing,event_timing,ordered_event_timestamp,shared_temporal_source,same_temporal_source_family,False,True,False
CGIE3_ID_03,3d,spearman::spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km,temporal_burstiness,candidate,derived_spatial_quantity,derived_temporal_quantity,spatial_location,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::depth_mad_km--event_count,depth_mad_km,event_count,rejected,distribution_summary,aggregate_observation,depth,event_membership,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::depth_mad_km--interevent_time_mad_hours,depth_mad_km,interevent_time_mad_hours,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::depth_mad_km--log10_cumulative_energy_joule,depth_mad_km,log10_cumulative_energy_joule,rejected,distribution_summary,derived_physical_quantity,depth,magnitude_energy,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::depth_mad_km--maximum_magnitude,depth_mad_km,maximum_magnitude,rejected,distribution_summary,distribution_summary,depth,magnitude,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,eligible,distribution_summary,distribution_summary,depth,depth,event_depth_km,shared_event_source,same_direct_source,False,True,False
CGIE3_ID_03,7d,spearman::depth_mad_km--median_interevent_time_hours,depth_mad_km,median_interevent_time_hours,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,rejected,distribution_summary,derived_spatial_quantity,depth,spatial_location,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::depth_mad_km--temporal_burstiness,depth_mad_km,temporal_burstiness,rejected,distribution_summary,derived_temporal_quantity,depth,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,aggregate_observation,derived_temporal_quantity,event_membership,event_timing,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,aggregate_observation,derived_physical_quantity,event_membership,magnitude_energy,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,eligible,aggregate_observation,distribution_summary,event_membership,magnitude,,independent_source,different_declared_source_families,False,False,False
CGIE3_ID_03,7d,spearman::event_count--median_depth_km,event_count,median_depth_km,candidate,aggregate_observation,distribution_summary,event_membership,depth,,independent_source,different_declared_source_families,False,False,False
